hour,power,SolarGen,Wind,GridAvailability
0,8.5,0,0.847,1
1,15.5,0,0.794,1
2,17,0,0.752,1
3,9,0,0.718,1
4,6,0,0.689,1
5,0,0,0.664,1
6,321,0.004,0.649,1
7,44,0.049,0.627,0
8,545,0.103,0.628,1
9,430,0.153,0.651,0
10,183,0.203,0.71,1
11,27,0.267,0.805,1
12,341,0.303,0.891,1
13,202,0.305,0.941,1
14,46,0.278,0.966,0
15,357.5,0.212,0.972,0
16,106,0.088,0.972,1
17,124,0.002,0.97,0
18,130,0,0.971,1
19,245,0,0.971,1
20,285.5,0,0.977,0
21,529.5,0,0.982,0
22,33,0,0.983,1
23,27,0,0.984,1
24,155.5,0,0.983,0
25,8,0,0.98,1
26,2.5,0,0.975,1
27,6,0,0.968,1
28,0,0,0.961,0
29,3,0,0.948,0
30,168,0.017,0.934,1
31,24,0.166,0.933,1
32,223.5,0.347,0.948,1
33,1038,0.492,0.962,1
34,185,0.564,0.968,0
35,29,0.58,0.973,0
36,193,0.538,0.972,0
37,85,0.47,0.965,1
38,42.5,0.373,0.954,1
39,406.5,0.258,0.943,1
40,107,0.101,0.924,1
41,77.5,0.002,0.889,1
42,188,0,0.847,1
43,406,0,0.82,0
44,79,0,0.807,1
45,347,0,0.803,1
46,30,0,0.797,1
47,42,0,0.8,1
48,158.5,0,0.82,1
49,11,0,0.827,1
50,5.5,0,0.832,1
51,3,0,0.835,0
52,0,0,0.836,1
53,0,0,0.822,1
54,309,0.031,0.797,1
55,27,0.228,0.783,1
56,432,0.432,0.83,1
57,326.5,0.561,0.856,1
58,188.5,0.578,0.849,1
59,22.5,0.605,0.84,1
60,223.5,0.567,0.829,1
61,62.5,0.486,0.817,1
62,292.5,0.396,0.808,1
63,684.5,0.273,0.801,1
64,337,0.122,0.783,1
65,112,0.004,0.75,0
66,276.5,0,0.724,1
67,240,0,0.713,1
68,144,0,0.705,1
69,341,0,0.697,1
70,48,0,0.674,1
71,57,0,0.64,1
72,150,0,0.605,1
73,5,0,0.575,1
74,8,0,0.554,1
75,3,0,0.533,0
76,3,0,0.515,1
77,9,0,0.459,1
78,309,0.042,0.413,1
79,12,0.263,0.391,1
80,34,0.466,0.49,0
81,693.5,0.604,0.541,0
82,186,0.66,0.521,1
83,42,0.676,0.492,1
84,314,0.648,0.465,1
85,158.5,0.595,0.443,1
86,40,0.511,0.428,1
87,346,0.32,0.41,1
88,64,0.152,0.38,1
89,93,0.006,0.35,1
90,269,0,0.341,1
91,479.5,0,0.315,0
92,483.5,0,0.294,1
93,37.5,0,0.271,1
94,51,0,0.264,1
95,39,0,0.26,1
96,28.5,0,0.26,1
97,11,0,0.263,1
98,6,0,0.265,1
99,6,0,0.271,1
100,6,0,0.275,1
101,6,0,0.268,1
102,306,0.049,0.262,1
103,24,0.276,0.256,1
104,218,0.469,0.335,1
105,334.5,0.6,0.395,1
106,429,0.632,0.409,1
107,36,0.625,0.425,1
108,203,0.65,0.451,1
109,42.5,0.599,0.482,1
110,42.5,0.488,0.513,1
111,184.5,0.306,0.52,1
112,101,0.144,0.475,1
113,122,0.005,0.389,1
114,415.5,0,0.342,1
115,213,0,0.318,1
116,446,0,0.284,1
117,332,0,0.257,0
118,33,0,0.243,0
119,48,0,0.288,1
120,158.5,0,0.307,1
121,14.5,0,0.307,0
122,5.5,0,0.298,1
123,3,0,0.315,1
124,3,0,0.302,1
125,0,0,0.291,1
126,165,0.038,0.274,1
127,15,0.232,0.235,1
128,677,0.428,0.249,0
129,824,0.579,0.267,1
130,426.5,0.679,0.256,1
131,25.5,0.722,0.253,1
132,312,0.727,0.262,1
133,40,0.656,0.285,1
134,90,0.534,0.326,1
135,391,0.352,0.367,0
136,112,0.127,0.386,1
137,136,0.004,0.403,1
138,260,0,0.408,1
139,104,0,0.404,0
140,280.5,0,0.391,1
141,382,0,0.382,1
142,54,0,0.374,1
143,33,0,0.377,0
144,18,0,0.397,0
145,12,0,0.399,1
146,3,0,0.404,1
147,3,0,0.404,1
148,0,0,0.395,1
149,6,0,0.393,1
150,309,0.044,0.391,1
151,33,0.262,0.379,1
152,47,0.479,0.419,1
153,388,0.622,0.461,1
154,538,0.705,0.511,1
155,273.5,0.727,0.57,1
156,225,0.714,0.616,1
157,262,0.657,0.638,1
158,126,0.572,0.652,0
159,443,0.415,0.654,0
160,94,0.198,0.639,1
161,66.5,0.008,0.584,1
162,351,0,0.527,1
163,185,0,0.507,1
164,233,0,0.494,1
165,330,0,0.498,0
166,30,0,0.493,1
167,18,0,0.498,1
