hour,power,SolarGen,Wind
0,0,0,0.847
1,0,0,0.794
2,0,0,0.752
3,0,0,0.718
4,0,0,0.689
5,0,0,0.664
6,3,0.004,0.649
7,7,0.049,0.627
8,4,0.103,0.628
9,0,0.153,0.651
10,0,0.203,0.71
11,0,0.267,0.805
12,19,0.303,0.891
13,15.5,0.305,0.941
14,30,0.278,0.966
15,12,0.212,0.972
16,7,0.088,0.972
17,6,0.002,0.97
18,10.5,0,0.971
19,9.5,0,0.971
20,14,0,0.977
21,8,0,0.982
22,8,0,0.983
23,0,0,0.984
24,0,0,0.983
25,0,0,0.98
26,2,0,0.975
27,0,0,0.968
28,2,0,0.961
29,2,0,0.948
30,5,0.017,0.934
31,4,0.166,0.933
32,3,0.347,0.948
33,2,0.492,0.962
34,2,0.564,0.968
35,0,0.58,0.973
36,16.5,0.538,0.972
37,18,0.47,0.965
38,18,0.373,0.954
39,3,0.258,0.943
40,12,0.101,0.924
41,12,0.002,0.889
42,13,0,0.847
43,13,0,0.82
44,7.5,0,0.807
45,6,0,0.803
46,8,0,0.797
47,0,0,0.8
48,0,0,0.82
49,0,0,0.827
50,0,0,0.832
51,0,0,0.835
52,0,0,0.836
53,0,0,0.822
54,6,0.031,0.797
55,8,0.228,0.783
56,7,0.432,0.83
57,1.5,0.561,0.856
58,0,0.578,0.849
59,1.5,0.605,0.84
60,10.5,0.567,0.829
61,15,0.486,0.817
62,0,0.396,0.808
63,1.5,0.273,0.801
64,6,0.122,0.783
65,16.5,0.004,0.75
66,19,0,0.724
67,16,0,0.713
68,7.5,0,0.705
69,13.5,0,0.697
70,8,0,0.674
71,0,0,0.64
72,2,0,0.605
73,2,0,0.575
74,0,0,0.554
75,0,0,0.533
76,0,0,0.515
77,0,0,0.459
78,5,0.042,0.413
79,8,0.263,0.391
80,7,0.466,0.49
81,0,0.604,0.541
82,1.5,0.66,0.521
83,3,0.676,0.492
84,7.5,0.648,0.465
85,15,0.595,0.443
86,19.5,0.511,0.428
87,15,0.32,0.41
88,11,0.152,0.38
89,10,0.006,0.35
90,11,0,0.341
91,11.5,0,0.315
92,10,0,0.294
93,9.5,0,0.271
94,6,0,0.264
95,0,0,0.26
96,0,0,0.26
97,0,0,0.263
98,0,0,0.265
99,0,0,0.271
100,0,0,0.275
101,0,0,0.268
102,4,0.049,0.262
103,4,0.276,0.256
104,8,0.469,0.335
105,4,0.6,0.395
106,1.5,0.632,0.409
107,1.5,0.625,0.425
108,1.5,0.65,0.451
109,6,0.599,0.482
110,7.5,0.488,0.513
111,7.5,0.306,0.52
112,7.5,0.144,0.475
113,15,0.005,0.389
114,26.5,0,0.342
115,11.5,0,0.318
116,11,0,0.284
117,9.5,0,0.257
118,6,0,0.243
119,0,0,0.288
120,3,0,0.307
121,1.5,0,0.307
122,0,0,0.298
123,2,0,0.315
124,0,0,0.302
125,0,0,0.291
126,7,0.038,0.274
127,8,0.232,0.235
128,4.5,0.428,0.249
129,3,0.579,0.267
130,3,0.679,0.256
131,5.5,0.722,0.253
132,4,0.727,0.262
133,7.5,0.656,0.285
134,16.5,0.534,0.326
135,7.5,0.352,0.367
136,0,0.127,0.386
137,9,0.004,0.403
138,22,0,0.408
139,8,0,0.404
140,9.5,0,0.391
141,8.5,0,0.382
142,8,0,0.374
143,0,0,0.377
144,0,0,0.397
145,0,0,0.399
146,0,0,0.404
147,0,0,0.404
148,0,0,0.395
149,0,0,0.393
150,4,0.044,0.391
151,4.5,0.262,0.379
152,6,0.479,0.419
153,4,0.622,0.461
154,2,0.705,0.511
155,8.5,0.727,0.57
156,1.5,0.714,0.616
157,7.5,0.657,0.638
158,18,0.572,0.652
159,15,0.415,0.654
160,13.5,0.198,0.639
161,6,0.008,0.584
162,7,0,0.527
163,11,0,0.507
164,11,0,0.494
165,8,0,0.498
166,5,0,0.493
167,2,0,0.498
